Type,Prompt ,Completion Structure,Completion text,,Type,Prompt ,Completion Structure,Completion text
,,C ,ઊંચા અને નીચા છોડનું પ્રમાણ 1 : 1,,,,C ,
,,D,ઊંચા અને નીચા છોડનું પ્રમાણ 2 : 1,,,,D,
,,Answer,ઊંચા અને નીચા છોડનું પ્રમાણ 1 : 1,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 49,નીચે આપેલી બાબતોમાંથી ભિન્નતા માટે શું સાચું છે ? (1) એક જાતિના સજીવોમાં જોવા મળતી અસમાનતાઓને ભિન્નતા કહે છે. નીચે આપેલી બાબતોમાંથી ભિન્નતા માટે શું સાચું છે ? (1) એક જાતિના સજીવોમાં જોવા મળતી અસમાનતાઓને ભિન્નતા કહે છે.,,,,Question 149,
,,A,(1) અને (3),,,,A,
,,B,(2) અને (4),,,,B,
,,C ,(1) અને (4),,,,C ,
,,D,(2) અને (3),,,,D,
,,Answer,,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 50,સમજાત અંગો કે સમમૂલક અંગોનું ઉદાહરણ છે.,,,,Question 150,
,,A,બટાટા અને ઘાસનું પ્રરોહ,,,,A,
,,B,આપણાં દાંત અને હાથીના દાંત,,,,B,
,,C , આપણો હાથ અને કૂતરાનું અગ્રઉપાંગ,,,,C ,
,,D,ઉપરના તમામ,,,,D,
,,Answer,ઉપરના તમામ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 51,પીળા અને ખરબચડા બીજ માટેના જનીનો ક્યા હોઈ શકે ?,,,,Question 151,
,,A,yyRR,,,,A,
,,B,yyrr,,,,B,
,,C ,YYRR,,,,C ,
,,D,YYrr,,,,D,
,,Answer,YYrr,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 52,Ti ને કેવા પ્રકારના જનીન કહેવાય ?,,,,Question 152,
,,A,સમજન્યુ જનીનો,,,,A,
,,B,સમયુગ્મી જનીનો,,,,B,
,,C ,વિષ્મજન્યુ જનીનો,,,,C ,
,,D,વિષ્મયુગ્મી જનીનો,,,,D,
,,Answer,સમયુગ્મી જનીનો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 53,11 જનીનપ્રકાર ધરાવતા છોડમાં જન્યુકોષોકોષનો જનીનપ્રકાર ક્યો હશે ?,,,,Question 153,
,,A,T,,,,A,
,,B,t,,,,B,
,,C ,Tt,,,,C ,
,,D,tT,,,,D,
,,Answer,t,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 54,એક સંકરણના પ્રયોગમાં કેટલા છોડ ઊંચાપણું ધરાવે છે ?,,,,Question 154,
,,A,25%,,,,A,
,,B,100%,,,,B,
,,C ,75%,,,,C ,
,,D,50%,,,,D,
,,Answer,75%,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 55,પક્ષીમાં ઉત્કાંતીને સમજવા માટે શાનો પુરાવો જરૂરી છે ?,,,,Question 155,
,,A,પાંખની ઉત્ક્રાંતી,,,,A,
,,B,પગની ઉત્ક્રાંતી,,,,B,
,,C ,ચાંચની ઉત્ક્રાંતી,,,,C ,
,,D,આંખની ઉત્ક્રાંતી,,,,D,
,,Answer,પાંખની ઉત્ક્રાંતી,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 56,જો સજીવના અશિમઓ પ્રુથ્વીના ઉડા સ્તરોમાથી મળી આવે તો આપણે તેનુ ભાવિ કથન કહિએ છીએ,,,,Question 156,
,,A,અશિમ્ની પ્રુથવી આ સ્તરમાં સ્થિતીને લુપ્ત થવા સાથે કોઈ સંબંધ નથી,,,,A,
,,B,સજીવ લુપ્ત તાજેતરમા થયો.,,,,B,
,,C ,લુપ્ત થવાના સમયનું નિશ્ચયન થતું નથી.,,,,C ,
,,D,સજીવ લુપ્ત થયા ને હજારો વર્ષે વીતી ગયા છે,,,,D,
,,Answer,સજીવ લુપ્ત થયા ને હજારો વર્ષે વીતી ગયા છે,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 57,લક્ષણૉ નું એક પેઢી થી બીજી પેઢીમાં સાતત્ય શું કહેવાય,,,,Question 157,
,,A,આનુંવંશિકતા,,,,A,
,,B,ઉત્ક્રાંતિ,,,,B,
,,C ,પેઢી,,,,C ,
,,D,વિકૃતિ,,,,D,
,,Answer,આનુંવંશિકતા,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 58,નીચે જણાવેલ પ્રાણીઓ રચનાસદ અંગ નથી.,,,,Question 158,
,,A,ચામાચિડીયા અને પક્ષીઓમાં પાંખ,,,,A,
,,B,પતંગિયા અને ચામાચિડીયામાં પાંખો,,,,B,
,,C ,"ગરોળી અને દેડકોની અગ્ર ઉપાંગ
",,,,C ,
,,D,"પતંગિયા અને ચામાચિડીયામાં પાંખો
",,,,D,
,,Answer,પતંગિયા અને ચામાચિડીયામાં પાંખો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 59,સમાન લક્ષણો ધરાવતા જન્યુકોષોને શું કહેવાય ?,,,,Question 159,
,,A,વિષમજન્યુતા,,,,A,
,,B,વિષમયુગ્મિતા,,,,B,
,,C ,સમજન્યુતા,,,,C ,
,,D,સમયુગ્મિતા,,,,D,
,,Answer,સમજન્યુતા,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 60,અશ્મિની ઉમર શોધવા માટે ક્યો આઈસોટોપ વપરાય છે ?,,,,Question 160,
,,A,11c,,,,A,
,,B,14c,,,,B,
,,C ,13c,,,,C ,
,,D,12c,,,,D,
,,Answer,14c,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 61,એક લક્ષણ માટેના બે જનીનો જો સમાન હોય તો તેને શું કહે છે ?,,,,Question 161,
,,A,સમયુગ્મી જનીનો,,,,A,
,,B,વિષમયુગ્મી જનીનો,,,,B,
,,C ,એકરૂપ જનીનો,,,,C ,
,,D,વિષમજનીનો,,,,D,
,,Answer,સમયુગ્મી જનીનો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 62,અંગો જુદા કાર્યો કરતા હોય પરંતુ પાયાની રચના સરખી હોય તેને ...... કહે છે.,,,,Question 162,
,,A,એનાલાયટી અંગો,,,,A,
,,B,હોમેલાયટિક અંગો,,,,B,
,,C ,કાર્યસંદશ અંગો,,,,C ,
,,D,રચનાસંદેશ અંગ,,,,D,
,,Answer,રચનાસંદેશ અંગ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 63,બ્રોકોલીના પૂર્વજનું નામ જણાવો.,,,,Question 163,
,,A,કોબીજ,,,,A,
,,B,કલ્બી,,,,B,
,,C ,જંગલી કોબીજ,,,,C ,
,,D,ફુલેવર,,,,D,
,,Answer,જંગલી કોબીજ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 64,નીચે જણાવેલ પ્રકારના અંગો બે પ્રાંણીમાં હાજર હોય પણ સુચવે છે કે તેઓ સામાન્ય પૂર્વજમાંથી ઉદભવતા નથી.,,,,Question 164,
,,A,કાર્યસદસ અંગો,,,,A,
,,B,પ્રજનન અંગો,,,,B,
,,C ,રચનાસદશ અંગો,,,,C ,
,,D,ઉત્સર્ગ અંગો,,,,D,
,,Answer,કાર્યસદસ અંગો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 65,દ્વિસંકરણ પ્રયોગનું ગુણોત્તર પ્રમાણ ક્યું સત્ય છે ?,,,,Question 165,
,,A,11 : 1 : 1 : 3,,,,A,
,,B,3:1: 1:11,,,,B,
,,C ,13: 1: 1: 3,,,,C ,
,,D,9:3:3: 1,,,,D,
,,Answer,9:3:3: 1,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 66,TT જનીન જોડ ને અનુલક્ષીને છોડ કેવો કહેવાય ?,,,,Question 166,
,,A,શુદ્ધ ઊચો,,,,A,
,,B,ઊંચો,,,,B,
,,C ,અશુદ્ધ ઊંચો,,,,C ,
,,D,અતિ ઊંચો,,,,D,
,,Answer,શુદ્ધ ઊચો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 67,જે અંગોના કાર્યની દ્રષ્ટિએ સમાન લક્ષણો જોવા મળે તેવા અંગો ને શું કહે છે ?,,,,Question 167,
,,A,રચનાસદશ અંગો,,,,A,
,,B,વિજાતીય અંગો,,,,B,
,,C ,કર્યસદૃશ અંગો,,,,C ,
,,D,વિભિન્ન અંગો,,,,D,
,,Answer,કર્યસદૃશ અંગો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 68,કોઈ એક લક્ષણ માટેના વૈકલ્પિક જનિનો કેટલા હોય છે ?,,,,Question 168,
,,A,2,,,,A,
,,B,4,,,,B,
,,C ,3,,,,C ,
,,D,1,,,,D,
,,Answer,2,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 69,ઉદ્વિકાસીય દ્રષ્ટિકોણથી આપણી કોની સાથે વધારે સમાનતા છે ?,,,,Question 169,
,,A,ચીનનો વિદ્યાર્થી,,,,A,
,,B,ચિપાંઝી,,,,B,
,,C ,જીવાણું,,,,C ,
,,D,કરોળિયો,,,,D,
,,Answer,ચીનનો વિદ્યાર્થી,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 70,ઉત્ક્રાંતિ પર્યાવરણમાં કેવી પ્રક્રિયા કહેવાય ?,,,,Question 170,
,,A,સમાન,,,,A,
,,B,પરિવર્તનિય,,,,B,
,,C ,અપરિવર્તનિય,,,,C ,
,,D,ભિન્ન,,,,D,
,,Answer,પરિવર્તનિય,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 71,F₂ પેઢીમાં એક સંકરણ પ્રયોગમાં ગુણોત્તર પ્રમાણ કેટલુ હોય છે ?,,,,Question 171,
,,A,3: 1,,,,A,
,,B,2: 2,,,,B,
,,C ,2:1,,,,C ,
,,D,11: 3,,,,D,
,,Answer,3: 1,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 72,સમાન અંગો ધરાવતા અંગો ને કેવા અંગો કહેવાય ?,,,,Question 172,
,,A,રચનાસદશ અંગો,,,,A,
,,B,કાર્યસદશ અંગો,,,,B,
,,C ,વિજાતીય અંગો,,,,C ,
,,D,વિભિન્ન અંગો,,,,D,
,,Answer,રચનાસદશ અંગો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 73,જંગલી કોબીજમાંથી માત્ર પર્ણનો ઉદ્ધિકાસ થાય તો ....... નું નિર્માણ થાય ?,,,,Question 173,
,,A,કોબીજ,,,,A,
,,B,કલ્નબી,,,,B,
,,C ,કેલે,,,,C ,
,,D,જંગલી કોબીજ,,,,D,
,,Answer,કોબીજ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 74,મેંડલે કઈ વનસ્પતિ પર કાર્ય કર્યું હતું ?,,,,Question 174,
,,A,લીથેરસ,,,,A,
,,B,વિગા,,,,B,
,,C ,ડોલીક્સ,,,,C ,
,,D,પીસમ,,,,D,
,,Answer,પીસમ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 75,માનવમાં લિંગનુ નિશ્ચયન કોના દ્વારા થાય છે ?,,,,Question 175,
,,A,પેશી,,,,A,
,,B,અંગિકાઓ,,,,B,
,,C ,જનીનો,,,,C ,
,,D,કોષ,,,,D,
,,Answer,જનીનો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 76,tt જનીનો ધરાવતા છોડનું લક્ષણ ક્યુ હશે ?,,,,Question 176,
,,A,વામનતાનું,,,,A,
,,B,મધ્યકક્ષાનું,,,,B,
,,C ,એક પણ નહિ,,,,C ,
,,D,ઊચાપણાનું,,,,D,
,,Answer,વામનતાનું,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 77,"મેન્ડલે નીચે જણાવેલ છોડની જાતિમાથી શેના પર કાર્ય કરેલ હતુ.,",,,,Question 177,
,,A,પીસમ સેટીવમ,,,,A,
,,B,ફેસીઓ મુન્ગો,,,,B,
,,C ,કેશિયા ટૉરા,,,,C ,
,,D,ઝિયા મેઝ,,,,D,
,,Answer,પીસમ સેટીવમ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 78,ખડકો પર વનસ્પતિ કે પ્રાણીની છાપ આવે મળી આવે તેને શું કહે છે ?,,,,Question 178,
,,A,અશ્મિ,,,,A,
,,B,આકૃતિ,,,,B,
,,C ,છાપ,,,,C ,
,,D,પ્રતિકૃતિ,,,,D,
,,Answer,અશ્મિ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 79,સરખી જાતિની વ્યક્તિઓમાં મળી આવતો તફાવત શેના કારણે છે ?,,,,Question 179,
,,A,સંક્રાંતિ,,,,A,
,,B,ઉત્ક્રાંતિ,,,,B,
,,C ,વિકાસ,,,,C ,
,,D,બિજ્ઞાતા,,,,D,
,,Answer,બિજ્ઞાતા,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 80,એક લક્ષણ માટેની છોડમાં જોવા મળતી ભિન્ન અભિવ્યક્તિ વ્યક્ત કરવામાં શેનો ઉપયોગ થાય છે ?,,,,Question 180,
,,A,વર્ણનનો પ્રકાર,,,,A,
,,B,જનીન પ્રકાર,,,,B,
,,C ,સજીવના પ્રકાર,,,,C ,
,,D,સ્વરૂપ પ્રકાર,,,,D,
,,Answer,,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
KhaliJagyao,,Question 81,........ દરમિયાન સર્જાતી ભિન્નતાઓ વારસાગત બને છે.,,,,Question 181,
,,A,અલિંગી,,,,A,
,,B,લિંગી પ્રજનન,,,,B,
,,C ,દ્વિભાજન,,,,C ,
,,D,અવખંડન,,,,D,
,,Answer,લિંગી પ્રજનન,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 82,ભિન્નતાઓ સાથે ભૌગોલિક અલગીકરણ ........ નિર્માણ તરફ દોરી જાય છે.,,,,Question 182,
,,A,રહેણીકરણ,,,,A,
,,B,પહેરવેશ,,,,B,
,,C ,જાતિ ,,,,C ,
,,D,ભેદભાવ,,,,D,
,,Answer,જાતિ ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 83,સજીવોનું વર્ગીકરણ ........ સંબંધો સમજાવે છે.,,,,Question 183,
,,A,,,,,A,
,,B,ઉદ્ધિકાસીય ,,,,B,
,,C ,,,,,C ,
,,D,,,,,D,
,,Answer,ઉદ્ધિકાસીય ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 84,બ્રૉકોલી ........ માંથી કૃત્રિમ પસંદગી દ્વારા વિકસાવાઇ છે.,,,,Question 184,
,,A,જંગલી કોબીજ ,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,,,,,D,
,,Answer,જંગલી કોબીજ ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 85,........ ને આનુવંશિકતા અને ભિન્નતાનું વિજ્ઞાન કહે છે.,,,,Question 185,
,,A,,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,જનીનવિદ્યા ,,,,D,
,,Answer,જનીનવિદ્યા ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 86,નેસર્ગિક પસંદગી વડે જાતિનો ઉદ્ડિકાસ પરિકલ્પના ........ નામના વૈજ્ઞાનિકે રજૂ કરી.,,,,Question 186,
,,A,,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,ચાર્લ્સ ડાર્વિન,,,,D,
,,Answer,ચાર્લ્સ ડાર્વિન,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 87,કોઇ પણ અનુકૂલન વગર ભિન્નતા ઉત્પન્ન થાય તે બાબત ........... અંપવાદનો સિદ્ધાંત છે.,,,,Question 187,
,,A,આનુવંશિક ,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,,,,,D,
,,Answer,આનુવંશિક ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 88,કોષમાં ઉત્સેચકોનું સંશ્લેષણ ........ દ્વારા નિયંત્રિત હોય છે.,,,,Question 188,
,,A,,,,,A,
,,B,,,,,B,
,,C ,જનીનો,,,,C ,
,,D,,,,,D,
,,Answer,જનીનો,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 89,વટાણાના છોડની વૃદ્ધિનો આધાર ચોક્કસ ........ ની માત્રા પર રહેલો છે.,,,,Question 189,
,,A,અંતઃરત્રાવો ,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,,,,,D,
,,Answer,અંતઃરત્રાવો ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 90,મનુષ્યના ૪-રંગસૂત્રની હાજરી ........ માટે આવશ્યક છે.,,,,Question 190,
,,A,,,,,A,
,,B,નર ,,,,B,
,,C ,,,,,C ,
,,D,,,,,D,
,,Answer,નર ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 91,જંગલી કોબીજમાં માત્ર પહોળાં પર્ણોની પસંદગી દ્વારા ........ શાકભાજીનો વિકાસ થયો.,,,,Question 191,
,,A,,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,કેલે ,,,,D,
,,Answer,કેલે ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 92,DNAમાં ફેરફારને કારણે ........ લાક્ષણિકતા અસ્તિત્વમાં આવે છે.,,,,Question 192,
,,A,આનુવંશિક ,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,,,,,D,
,,Answer,આનુવંશિક ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 93,........ ની આંખ ખૂબ સાદી અને ટપકાં સ્વરૂપે હોય છે.,,,,Question 193,
,,A,,,,,A,
,,B,,,,,B,
,,C ,પ્લેનેરિયા ,,,,C ,
,,D,,,,,D,
,,Answer,પ્લેનેરિયા ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 94,પીછાં ધરાવતા ડાયનાસોર ........ વર્ગના પ્રાણી હતા.,,,,Question 194,
,,A,સરીસૃપ ,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,,,,,D,
,,Answer,સરીસૃપ ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 95,પૃથ્વી પર હાલની માનવજાતિનું મૂળ ઉદ્ગમ ........ છે.,,,,Question 195,
,,A,,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,આફ્રિકા ,,,,D,
,,Answer,આફ્રિકા ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 96,પોષણના અભાવે ઓછા જૈવભારવાળા ભમરા ........ લક્ષણ ગણાય.,,,,Question 196,
,,A,ઉપાર્જિત,,,,A,
,,B,,,,,B,
,,C ,,,,,C ,
,,D,,,,,D,
,,Answer,ઉપાર્જિત,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
TRUE OR FALSE,,Question 97,અલિંગી પ્રજનન મોટા પ્રમાણમાં વિવિધતાઓ સર્જે છે.,,,,Question 197,
,,A,ખરું ,,,,A,
,,B,ખોટું ,,,,B,
,,C ,-,,,,C ,
,,D,-,,,,D,
,,Answer,ખોટું ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 98,અલિંગી પ્રજનનમાં DNAની નકલ બનતી વખતે થતાં ફેરફારથી વિવિધતાનો ઉદ્ભવ થાય છે.,,,,Question 198,
,,A,ખરું ,,,,A,
,,B,ખોટું ,,,,B,
,,C ,-,,,,C ,
,,D,-,,,,D,
,,Answer,ખરું ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 99,મેન્ડલે પસંદ કરેલા બગીચાના વટાણા લાંબુ જીવનચક્ર ધરાવતા અને મુશ્કેલીથી ઉછેરી શકાતા હતા.,,,,Question 199,
,,A,ખરું ,,,,A,
,,B,ખોટું ,,,,B,
,,C ,-,,,,C ,
,,D,-,,,,D,
,,Answer,ખોટું ,,,,Answer,
,,Solution,,,,,Solution,
,,,,,,,,
,,Question 100,મેન્ડલના પ્રયોગોમાં F1 પેઢીમાં બંને પિતૃનાં લક્ષણો અવલોકનમાં મળ્યાં.,,,,Question 200,
,,A,ખરું ,,,,A,
,,B,ખોટું ,,,,B,
,,C ,-,,,,C ,
,,D,-,,,,D,
,,Answer,ખોટું ,,,,Answer,
,,Solution,,,,,Solution,
